mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex,speaker_4_ID,speaker_4_sex
8051-295385-0004_6181-216552-0067_7067-76048-0021_4788-94904-0013,8051.0,F,6181.0,M,7067.0,M,4788.0,M
6848-252322-0003_3259-158083-0090_1624-168623-0018_2159-179157-0005,6848.0,M,3259.0,F,1624.0,M,2159.0,M
8419-286676-0000_250-142276-0043_3947-13262-0049_150-126112-0028,8419.0,M,250.0,F,3947.0,F,150.0,F
7402-90848-0054_4267-72637-0019_1098-133695-0019_7278-104730-0017,7402.0,M,4267.0,M,1098.0,F,7278.0,M
5808-48608-0037_5192-19397-0022_5561-39621-0045_445-123857-0007,5808.0,M,5192.0,M,5561.0,F,445.0,M
2007-149877-0043_7312-92432-0012_6563-63821-0042_2514-149482-0015,2007.0,F,7312.0,M,6563.0,M,2514.0,M
7517-100442-0026_3983-5331-0011_2182-181183-0003_1447-130550-0025,7517.0,F,3983.0,F,2182.0,F,1447.0,F
5750-100289-0077_4362-15663-0091_4014-186179-0031_8108-274318-0047,5750.0,M,4362.0,F,4014.0,M,8108.0,M
1737-146161-0003_1040-133433-0016_7780-274562-0013_7278-246956-0022,1737.0,F,1040.0,M,7780.0,F,7278.0,M
8108-280359-0009_4680-16026-0038_6385-34655-0020_8609-283227-0025,8108.0,M,4680.0,F,6385.0,F,8609.0,M
198-126831-0041_669-129061-0048_7178-34644-0013_2391-145015-0027,198.0,F,669.0,F,7178.0,F,2391.0,F
1963-142776-0001_2893-139310-0006_1743-142914-0007_6181-216552-0039,1963.0,F,2893.0,M,1743.0,M,6181.0,M
3983-5371-0045_298-126791-0016_4160-11549-0018_4051-11218-0058,3983.0,F,298.0,F,4160.0,F,4051.0,F
248-130644-0012_4898-20016-0027_6415-116629-0038_1867-154075-0043,248.0,F,4898.0,M,6415.0,F,1867.0,M
6531-61334-0014_5390-24512-0021_4137-11702-0043_6272-70171-0000,6531.0,F,5390.0,M,4137.0,F,6272.0,F
7190-90542-0083_5688-41232-0021_5514-19192-0032_302-123523-0027,7190.0,M,5688.0,F,5514.0,F,302.0,F
3983-5331-0028_5022-29411-0050_2196-170379-0032_3830-12535-0013,3983.0,F,5022.0,F,2196.0,F,3830.0,M
3374-298026-0037_211-122425-0081_3112-9555-0054_4859-29340-0030,3374.0,M,211.0,F,3112.0,F,4859.0,M
5322-7680-0029_5049-25947-0097_8797-294123-0009_2007-149877-0000,5322.0,M,5049.0,M,8797.0,M,2007.0,F
