mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex
5189-37999-0012_666-11244-0000_8825-292253-0007,5189.0,M,666.0,F,8825.0,F
6235-36641-0113_6160-44912-0004_3157-168062-0002,6235.0,F,6160.0,F,3157.0,F
4586-61776-0025_1296-138074-0048_4427-12471-0014,4586.0,M,1296.0,F,4427.0,F
217-122443-0069_3289-171107-0008_1422-149735-0020,217.0,F,3289.0,M,1422.0,F
3816-19585-0027_8725-294551-0018_1348-135832-0010,3816.0,F,8725.0,M,1348.0,F
7095-88484-0019_8097-108005-0054_6378-61780-0006,7095.0,M,8097.0,F,6378.0,F
3294-167597-0025_7967-104986-0040_3171-7574-0006,3294.0,F,7967.0,F,3171.0,M
8195-117382-0051_6574-70756-0018_4064-77779-0028,8195.0,M,6574.0,M,4064.0,F
1552-140651-0033_6082-56174-0050_4490-16003-0014,1552.0,M,6082.0,F,4490.0,F
3490-177638-0016_6215-62347-0026_3513-7741-0007,3490.0,M,6215.0,F,3513.0,F
5054-18527-0039_4973-44575-0030_3001-160952-0052,5054.0,F,4973.0,M,3001.0,F
7484-39971-0066_3738-164927-0028_8194-89388-0022,7484.0,M,3738.0,F,8194.0,F
606-121661-0043_242-122627-0029_1482-140067-0033,606.0,M,242.0,F,1482.0,M
2010-147045-0023_8266-279363-0003_7837-109174-0046,2010.0,F,8266.0,M,7837.0,M
246-122825-0012_2920-156224-0006_1448-135894-0060,246.0,F,2920.0,F,1448.0,F
770-131704-0031_593-126928-0039_4222-187005-0010,770.0,M,593.0,M,4222.0,F
5133-80690-0051_510-130103-0033_3728-105398-0038,5133.0,F,510.0,M,3728.0,F
6828-64738-0043_1165-135216-0009_6006-60489-0024,6828.0,F,1165.0,M,6006.0,F
1801-138032-0003_126-122467-0077_81-121543-0114,1801.0,M,126.0,F,81.0,M
2494-156015-0049_6828-64738-0004_4595-45218-0015,2494.0,M,6828.0,F,4595.0,M
5115-26950-0032_2696-157636-0008_272-130225-0004,5115.0,F,2696.0,M,272.0,M
4381-14897-0015_8742-245707-0002_4856-20410-0014,4381.0,F,8742.0,M,4856.0,M
3072-155949-0014_671-131030-0036_2045-158081-0102,3072.0,M,671.0,M,2045.0,M
1387-130989-0032_7285-72200-0006_511-131228-0039,1387.0,M,7285.0,F,511.0,M
589-146346-0022_2929-86777-0023_90-121085-0012,589.0,F,2929.0,M,90.0,M
8887-281471-0023_3446-144019-0018_4243-14929-0018,8887.0,M,3446.0,F,4243.0,M
3224-168198-0007_5809-51162-0012_17-362-0024,3224.0,F,5809.0,F,17.0,M
6494-60800-0001_8742-245708-0018_7481-101276-0066,6494.0,M,8742.0,M,7481.0,F
5984-56840-0022_497-129325-0000_38-121024-0067,5984.0,F,497.0,M,38.0,M
28-12332-0095_1222-141174-0024_5802-76043-0036,28.0,F,1222.0,M,5802.0,M
6099-67860-0014_4860-13185-0045_954-130627-0016,6099.0,F,4860.0,M,954.0,M
1322-137588-0033_1445-139387-0007_7316-10642-0051,1322.0,M,1445.0,M,7316.0,F
5126-36956-0010_188-141613-0010_79-121541-0036,5126.0,M,188.0,F,79.0,F
3003-14274-0078_899-126232-0041_112-123216-0000,3003.0,F,899.0,M,112.0,F
8705-290363-0068_1556-143307-0068_764-132280-0028,8705.0,M,1556.0,M,764.0,M
6937-112761-0035_6895-92806-0037_1961-149739-0019,6937.0,F,6895.0,F,1961.0,F
3490-177638-0014_3185-163505-0066_4854-24732-0029,3490.0,M,3185.0,M,4854.0,M
986-129388-0019_1806-2536-0018_7518-86741-0063,986.0,M,1806.0,M,7518.0,M
6037-59239-0003_1801-138032-0005_5333-5083-0001,6037.0,M,1801.0,M,5333.0,M
671-131040-0028_3224-167024-0023_5975-54006-0022,671.0,M,3224.0,F,5975.0,M
2285-163380-0039_3717-178149-0012_3368-170951-0028,2285.0,M,3717.0,M,3368.0,M
7294-92934-0015_79-121541-0097_6286-69422-0012,7294.0,F,79.0,F,6286.0,F
5604-26987-0009_8718-295446-0001_4110-11535-0018,5604.0,F,8718.0,F,4110.0,M
1668-136280-0046_79-121541-0088_487-129440-0047,1668.0,F,79.0,F,487.0,M
820-123133-0021_639-124526-0044_707-161166-0030,820.0,M,639.0,M,707.0,M
225-131276-0007_2238-121415-0043_7555-105394-0016,225.0,F,2238.0,M,7555.0,F
6555-398-0059_1944-159227-0016_2299-6524-0033,6555.0,M,1944.0,F,2299.0,M
3967-29012-0036_4899-32639-0017_8705-290363-0009,3967.0,F,4899.0,F,8705.0,M
6927-86043-0040_548-126959-0056_7318-96168-0022,6927.0,F,548.0,M,7318.0,F
2146-136610-0017_3977-185457-0026_8388-275212-0026,2146.0,M,3977.0,M,8388.0,F
2960-155152-0005_8718-295446-0007_636-128331-0021,2960.0,M,8718.0,F,636.0,F
699-132864-0000_6555-398-0001_1259-72927-0028,699.0,F,6555.0,M,1259.0,F
7995-276908-0007_4899-32658-0034_2404-141242-0053,7995.0,F,4899.0,F,2404.0,M
6696-73295-0001_7832-114468-0022_1859-145703-0007,6696.0,F,7832.0,M,1859.0,F
14-212-0016_409-124990-0075_3979-10702-0017,14.0,F,409.0,M,3979.0,F
4289-21393-0067_1349-135891-0013_500-125123-0015,4289.0,F,1349.0,M,500.0,M
362-123047-0013_581-126957-0020_4111-184447-0012,362.0,F,581.0,M,4111.0,F
6788-96241-0013_6330-62850-0029_5767-48579-0067,6788.0,F,6330.0,M,5767.0,M
8498-287359-0009_8591-284445-0015_1472-142848-0000,8498.0,M,8591.0,F,1472.0,F
2494-156015-0044_8725-294551-0012_5660-101892-0005,2494.0,M,8725.0,M,5660.0,F
7286-92935-0039_90-121085-0023_3851-9210-0081,7286.0,F,90.0,M,3851.0,F
204-287139-0020_1425-139297-0005_4586-19665-0023,204.0,M,1425.0,F,4586.0,M
8075-279239-0018_8855-283242-0017_258-121528-0018,8075.0,F,8855.0,M,258.0,M
2334-150915-0076_525-126965-0049_8605-291172-0024,2334.0,M,525.0,F,8605.0,F
3630-11612-0044_6038-56777-0028_4848-28247-0021,3630.0,F,6038.0,F,4848.0,M
806-123715-0002_5672-88363-0016_8474-281187-0015,806.0,M,5672.0,M,8474.0,M
7982-245691-0018_3448-5417-0010_2751-142363-0063,7982.0,F,3448.0,M,2751.0,F
8190-284434-0011_2319-138631-0009_4427-12471-0011,8190.0,F,2319.0,M,4427.0,F
3119-163527-0064_278-127215-0029_7434-75939-0035,3119.0,F,278.0,F,7434.0,F
3361-130131-0000_278-127215-0062_6544-67863-0007,3361.0,F,278.0,F,6544.0,F
4278-13270-0011_2201-160438-0022_90-121085-0094,4278.0,M,2201.0,M,90.0,M
203-132069-0011_501-125128-0019_7945-112012-0011,203.0,F,501.0,M,7945.0,F
7085-75807-0007_30-4445-0009_7495-252341-0001,7085.0,M,30.0,F,7495.0,F
6965-277898-0018_56-1733-0010_2688-144987-0055,6965.0,M,56.0,F,2688.0,M
7515-100431-0023_8396-120277-0020_3003-14274-0072,7515.0,F,8396.0,M,3003.0,F
5909-107621-0016_5115-26950-0028_3046-148993-0023,5909.0,M,5115.0,F,3046.0,F
8677-296078-0037_5583-41259-0026_1224-121064-0113,8677.0,F,5583.0,F,1224.0,F
8176-115047-0010_7495-252341-0014_2573-178449-0033,8176.0,M,7495.0,F,2573.0,F
1160-139730-0012_6696-73295-0013_5810-8689-0015,1160.0,M,6696.0,F,5810.0,M
30-4445-0036_1271-133279-0008_6339-65534-0041,30.0,F,1271.0,M,6339.0,F
1487-133273-0042_8848-293963-0046_1825-135580-0047,1487.0,M,8848.0,M,1825.0,F
3228-4687-0017_1052-139308-0031_3927-6557-0001,3228.0,F,1052.0,F,3927.0,M
7704-106965-0003_5448-19208-0005_636-123163-0008,7704.0,M,5448.0,M,636.0,F
3852-175448-0039_476-134312-0038_1641-130503-0017,3852.0,F,476.0,M,1641.0,F
6686-216563-0049_4744-4158-0028_6339-65554-0061,6686.0,M,4744.0,F,6339.0,F
9023-296468-0016_6673-72311-0078_8824-279153-0000,9023.0,F,6673.0,F,8824.0,M
543-133211-0013_1649-5776-0032_4848-29108-0031,543.0,M,1649.0,F,4848.0,M
5186-7793-0052_3551-7887-0024_3851-9210-0110,5186.0,M,3551.0,F,3851.0,F
8605-292138-0040_7704-106965-0002_4138-11079-0049,8605.0,F,7704.0,M,4138.0,F
925-8141-0003_7515-220979-0023_5635-58137-0017,925.0,F,7515.0,F,5635.0,M
1827-143625-0055_6080-58012-0027_2573-178450-0035,1827.0,M,6080.0,M,2573.0,F
1313-135022-0018_6620-283138-0061_954-130627-0013,1313.0,M,6620.0,F,954.0,M
2494-156015-0033_318-124164-0009_1392-128240-0005,2494.0,M,318.0,F,1392.0,M
1160-139336-0013_2012-139358-0029_4290-14526-0049,1160.0,M,2012.0,M,4290.0,M
249-121331-0017_5968-61356-0008_4111-184447-0060,249.0,M,5968.0,F,4111.0,F
1422-149735-0002_2045-158081-0078_5054-1187-0031,1422.0,F,2045.0,M,5054.0,F
81-121543-0030_98-121658-0030_707-138866-0011,81.0,M,98.0,F,707.0,M
288-131218-0033_716-129582-0013_5242-35926-0050,288.0,F,716.0,M,5242.0,M
4110-11533-0030_510-130560-0023_3340-169293-0029,4110.0,M,510.0,M,3340.0,M
6099-69550-0038_2411-132530-0045_2393-144496-0015,6099.0,F,2411.0,F,2393.0,M
8163-116797-0027_2531-156724-0046_2654-158744-0021,8163.0,F,2531.0,M,2654.0,M
6637-69607-0055_5604-26982-0013_2785-163322-0033,6637.0,F,5604.0,F,2785.0,F
663-128990-0024_3185-163505-0000_5319-84357-0015,663.0,M,3185.0,M,5319.0,M
101-126860-0030_8113-301694-0025_8195-117382-0064,101.0,M,8113.0,F,8195.0,M
7995-276908-0008_4110-11528-0027_6956-81870-0018,7995.0,F,4110.0,M,6956.0,M
6494-60800-0024_3686-171133-0041_6574-70756-0007,6494.0,M,3686.0,M,6574.0,M
8459-285137-0027_6550-53343-0011_5489-65803-0035,8459.0,M,6550.0,M,5489.0,F
3816-290923-0009_7939-120318-0016_2769-176263-0032,3816.0,F,7939.0,M,2769.0,M
6395-84349-0018_2498-134785-0027_594-127732-0003,6395.0,M,2498.0,F,594.0,M
639-143022-0007_4110-11533-0032_8118-114469-0009,639.0,M,4110.0,M,8118.0,F
4145-34497-0012_2401-144485-0026_4926-23311-0035,4145.0,F,2401.0,F,4926.0,F
6406-88089-0014_408-122806-0098_598-127704-0027,6406.0,F,408.0,F,598.0,F
1607-149245-0019_2573-186232-0016_8643-298549-0040,1607.0,M,2573.0,F,8643.0,M
7867-110742-0006_5002-70998-0013_3967-29012-0001,7867.0,M,5002.0,M,3967.0,F
2741-159386-0109_5139-30105-0043_986-129388-0011,2741.0,F,5139.0,F,986.0,M
7837-109173-0033_4438-48525-0005_55-121068-0027,7837.0,M,4438.0,M,55.0,M
1472-285314-0018_6505-231837-0006_2494-156015-0020,1472.0,F,6505.0,F,2494.0,M
3094-136458-0011_1801-138032-0077_829-123191-0005,3094.0,F,1801.0,M,829.0,F
7520-258954-0004_3889-9914-0018_1448-135894-0022,7520.0,M,3889.0,F,1448.0,F
1571-138486-0040_1509-145742-0013_8474-281187-0006,1571.0,M,1509.0,F,8474.0,M
6388-64974-0052_3340-170982-0010_4490-16003-0042,6388.0,F,3340.0,M,4490.0,F
5767-48579-0088_3551-7887-0012_6388-64974-0028,5767.0,M,3551.0,F,6388.0,F
2162-164461-0031_93-126208-0020_4957-23295-0034,2162.0,M,93.0,F,4957.0,F
6014-32886-0008_4257-6397-0040_7241-90850-0022,6014.0,F,4257.0,M,7241.0,M
8713-300047-0032_7991-102381-0068_6981-70843-0040,8713.0,M,7991.0,M,6981.0,M
5389-4861-0060_1629-139710-0022_81-121543-0018,5389.0,M,1629.0,F,81.0,M
606-130296-0005_8545-287671-0021_480-127525-0012,606.0,M,8545.0,F,480.0,M
7478-98645-0047_1093-132891-0008_3118-5912-0023,7478.0,M,1093.0,F,3118.0,M
1001-134707-0002_549-126410-0041_479-126480-0014,1001.0,M,549.0,F,479.0,F
3483-115968-0014_8534-216567-0011_1487-133273-0073,3483.0,M,8534.0,M,1487.0,M
6763-74797-0002_2999-156967-0002_323-126408-0017,6763.0,F,2999.0,M,323.0,F
1482-140067-0010_2149-8912-0022_1487-133273-0099,1482.0,M,2149.0,M,1487.0,M
3082-165428-0067_5656-44577-0026_815-130569-0007,3082.0,M,5656.0,M,815.0,M
2238-121415-0028_4222-12898-0036_225-131276-0009,2238.0,M,4222.0,F,225.0,F
2113-132484-0062_7335-290365-0056_2194-150469-0014,2113.0,M,7335.0,F,2194.0,F
6924-114452-0011_6308-68358-0034_4278-13270-0005,6924.0,F,6308.0,F,4278.0,M
1100-135264-0033_6673-72311-0014_8011-280922-0017,1100.0,F,6673.0,F,8011.0,M
7938-109179-0015_7437-99249-0033_166-126302-0003,7938.0,M,7437.0,M,166.0,F
1638-84447-0003_1001-134707-0036_3972-170212-0040,1638.0,M,1001.0,M,3972.0,F
1914-121446-0021_1748-1562-0022_5746-48361-0026,1914.0,M,1748.0,M,5746.0,M
7994-258960-0006_953-130625-0021_6538-81859-0001,7994.0,F,953.0,M,6538.0,M
3979-10701-0011_2256-137627-0033_5054-1187-0029,3979.0,F,2256.0,F,5054.0,F
4133-6541-0060_6696-73296-0027_3876-174953-0015,4133.0,M,6696.0,F,3876.0,F
6782-61316-0115_2498-134785-0001_6157-40556-0002,6782.0,F,2498.0,F,6157.0,M
3835-178030-0022_5147-32135-0029_6080-58025-0020,3835.0,M,5147.0,M,6080.0,M
296-142727-0042_1961-145733-0010_820-123133-0006,296.0,M,1961.0,F,820.0,M
3357-28380-0033_7416-103126-0009_2769-176256-0025,3357.0,F,7416.0,F,2769.0,M
3905-149791-0029_345-1129-0013_2299-6524-0030,3905.0,F,345.0,M,2299.0,M
55-121068-0052_1607-150715-0037_1413-121799-0043,55.0,M,1607.0,M,1413.0,M
4731-95870-0036_3032-19361-0010_208-126851-0005,4731.0,F,3032.0,M,208.0,F
5740-97593-0007_5206-19376-0080_8725-294551-0047,5740.0,F,5206.0,M,8725.0,M
2499-156153-0002_781-127518-0041_7139-88748-0033,2499.0,M,781.0,M,7139.0,M
2473-155521-0025_8718-295446-0026_8138-293531-0015,2473.0,M,8718.0,F,8138.0,M
3703-71531-0036_6567-53342-0010_598-127704-0010,3703.0,F,6567.0,F,598.0,F
5583-41919-0008_7525-101265-0042_1748-1562-0064,5583.0,F,7525.0,F,1748.0,M
2688-144987-0066_6637-69607-0008_2012-139356-0014,2688.0,M,6637.0,F,2012.0,M
8396-240992-0027_6060-58090-0025_3221-9174-0009,8396.0,M,6060.0,M,3221.0,M
4238-12538-0011_4236-8927-0084_4733-6398-0057,4238.0,F,4236.0,M,4733.0,M
8705-290363-0046_1296-138074-0045_3482-170453-0076,8705.0,M,1296.0,F,3482.0,F
7030-64588-0060_7647-102250-0008_6308-68359-0039,7030.0,M,7647.0,M,6308.0,F
2285-163380-0004_3171-68344-0007_3389-13248-0000,2285.0,M,3171.0,M,3389.0,M
2162-185436-0016_2010-147045-0004_2774-131722-0109,2162.0,M,2010.0,F,2774.0,M
2229-152864-0006_1800-142858-0009_8142-276732-0009,2229.0,M,1800.0,F,8142.0,M
6555-398-0018_3979-10702-0026_7594-91192-0033,6555.0,M,3979.0,F,7594.0,F
8300-275128-0063_7868-110705-0006_6395-86708-0014,8300.0,F,7868.0,F,6395.0,M
830-130728-0008_101-126860-0033_6509-67147-0001,830.0,F,101.0,M,6509.0,F
3228-4691-0025_8791-291101-0052_3380-6175-0035,3228.0,F,8791.0,M,3380.0,F
7090-91801-0091_7569-102232-0030_2388-153728-0038,7090.0,M,7569.0,M,2388.0,M
8193-116805-0007_1639-132848-0024_6538-81859-0007,8193.0,F,1639.0,M,6538.0,M
7169-89735-0043_7752-110522-0003_5133-30591-0036,7169.0,M,7752.0,F,5133.0,F
2531-156718-0008_6119-48032-0016_637-127579-0022,2531.0,M,6119.0,M,637.0,M
7245-104890-0058_3274-167022-0029_5115-26951-0006,7245.0,F,3274.0,M,5115.0,F
1923-161975-0025_6286-75355-0017_8006-112592-0026,1923.0,F,6286.0,F,8006.0,M
7754-108640-0046_5767-48579-0081_3781-156977-0004,7754.0,F,5767.0,M,3781.0,F
2348-143895-0042_4598-2503-0040_5139-30106-0005,2348.0,F,4598.0,F,5139.0,F
6518-66465-0024_7949-39970-0050_3380-64298-0017,6518.0,F,7949.0,M,3380.0,F
5190-87766-0034_8825-292252-0009_968-122544-0049,5190.0,M,8825.0,F,968.0,F
1769-143485-0041_7837-109173-0009_1456-139733-0008,1769.0,M,7837.0,M,1456.0,M
688-46588-0008_3540-163612-0090_3228-4690-0031,688.0,F,3540.0,M,3228.0,F
3274-167023-0006_1851-148962-0035_8142-276732-0014,3274.0,M,1851.0,F,8142.0,M
4054-11077-0021_6519-69412-0014_5154-26559-0011,4054.0,M,6519.0,F,5154.0,F
8057-271826-0014_7956-245687-0056_4133-6541-0108,8057.0,F,7956.0,M,4133.0,M
3347-134420-0021_3001-160984-0021_1944-159230-0020,3347.0,F,3001.0,F,1944.0,F
1777-142745-0002_4108-2772-0030_16-122828-0012,1777.0,M,4108.0,M,16.0,F
4681-13056-0027_1316-132800-0055_7011-66622-0008,4681.0,M,1316.0,M,7011.0,M
1460-138290-0053_4770-25951-0019_5538-64717-0032,1460.0,F,4770.0,F,5538.0,F
4356-6506-0052_8410-278217-0032_1387-134991-0025,4356.0,F,8410.0,F,1387.0,M
663-128991-0014_2618-138042-0075_7705-101580-0032,663.0,M,2618.0,M,7705.0,M
7069-246893-0004_8066-290901-0024_2294-169656-0033,7069.0,M,8066.0,M,2294.0,M
2162-181961-0027_4719-25766-0046_5918-46890-0051,2162.0,M,4719.0,M,5918.0,M
6115-58433-0025_4057-11254-0014_8225-274374-0010,6115.0,M,4057.0,F,8225.0,M
8875-293959-0036_3733-140718-0000_2240-148521-0011,8875.0,M,3733.0,F,2240.0,M
3703-71550-0028_208-126851-0008_6686-216563-0080,3703.0,F,208.0,F,6686.0,M
5918-46890-0077_5489-10988-0039_8474-281187-0027,5918.0,M,5489.0,F,8474.0,M
2194-150469-0000_8820-294113-0004_688-46588-0001,2194.0,F,8820.0,M,688.0,F
3003-14274-0028_2517-135229-0028_7520-258986-0003,3003.0,F,2517.0,M,7520.0,M
5093-29101-0031_2319-138631-0037_1425-139290-0025,5093.0,F,2319.0,M,1425.0,F
