mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
1472-285314-0009_7498-99156-0002,1472.0,F,7498.0,F
6115-58778-0012_2201-7371-0024,6115.0,M,2201.0,M
688-15446-0007_820-123133-0011,688.0,F,820.0,M
159-135897-0024_2045-158081-0028,159.0,M,2045.0,M
4111-184447-0025_55-121068-0046,4111.0,F,55.0,M
2758-86040-0013_475-124994-0005,2758.0,F,475.0,M
225-131256-0004_4839-15307-0005,225.0,F,4839.0,F
561-126319-0010_7069-246892-0024,561.0,M,7069.0,M
6510-62558-0027_3923-153309-0009,6510.0,M,3923.0,M
7095-88483-0001_4967-3586-0022,7095.0,M,4967.0,F
2093-143264-0014_1509-143477-0006,2093.0,M,1509.0,F
373-130977-0019_2012-139358-0022,373.0,F,2012.0,M
1401-146770-0024_8848-293963-0018,1401.0,F,8848.0,M
4731-58193-0016_2039-141209-0030,4731.0,F,2039.0,M
335-125945-0006_1226-141279-0006,335.0,M,1226.0,M
7959-109185-0016_2294-161714-0037,7959.0,F,2294.0,M
472-129983-0033_3380-6175-0031,472.0,F,3380.0,F
6098-57836-0005_3537-5703-0034,6098.0,M,3537.0,F
1018-133447-0014_525-126965-0069,1018.0,M,525.0,F
8643-298549-0036_6446-57416-0010,8643.0,M,6446.0,M
6727-10344-0013_2053-138901-0057,6727.0,M,2053.0,F
5604-26987-0012_6446-40544-0022,5604.0,F,6446.0,M
5400-3587-0009_409-124990-0045,5400.0,F,409.0,M
2494-156014-0004_836-130900-0023,2494.0,M,836.0,M
3686-171133-0040_5717-100145-0009,3686.0,M,5717.0,M
8786-276735-0072_114-129317-0034,8786.0,M,114.0,F
7335-290365-0028_2741-159386-0106,7335.0,F,2741.0,F
581-126955-0067_1349-135892-0053,581.0,M,1349.0,M
6115-58776-0041_2960-155151-0021,6115.0,M,2960.0,M
3686-171134-0025_5802-76043-0037,3686.0,M,5802.0,M
8687-216570-0089_6694-70837-0003,8687.0,M,6694.0,M
3923-174992-0020_398-130093-0074,3923.0,M,398.0,M
3546-175390-0024_596-127685-0026,3546.0,F,596.0,F
5206-19376-0025_8758-291170-0003,5206.0,M,8758.0,M
4071-39913-0022_4152-5710-0019,4071.0,F,4152.0,M
2785-163322-0044_8825-292252-0027,2785.0,F,8825.0,F
258-121528-0029_2404-141240-0006,258.0,M,2404.0,M
1974-139742-0009_1079-128631-0022,1974.0,F,1079.0,F
2137-131748-0019_4734-220952-0022,2137.0,M,4734.0,M
925-8157-0002_7069-246893-0008,925.0,F,7069.0,M
